Company,Position,Skill,Sub-skill,Do I have it?
StoneX,Data Engineer,API data distribution,,
,,Enterprise architecture,,
,,Data Structures,,
,,Algorithms,,
,,Python,,
,,Java,,
,,C#,,
,,MSSQL,,
,,Key Value Databases,,
,,Containers,,
,,Microservices,,
,,Distributed Systems Architecture,,
,,Orchestrators,,
,,Cloud computing,,
,,Algorithms,,
,,Data structures,,
John Deere,Data Engineer,Python,,
,,Spark,,
,,Scala,,
,,Hadoop,,
,,Databricks,,
,,Open Source ML Stack,Pytorch,
,,,NumPy,
,,,Keras,
,,,TensorFlow,
,,SQL,,
,,NoSQL,,
,,MLOps,Continuous Integration/Continuous Deployment,
,,Model monitoring,,
,,AWS,,
,,Azure,,
,,GCP,,
,,Test Driven Development,,
